Input,Output
nrivasure,brivasure
stqnozolol,stanozolol
beerygest,berygest
colsaid,coldaid
varefungi,carefungi
cekegra,celegra
alver,alger
aceresf,acerest
acalin,axalin
cyperton,cyperton
cblormat,chlormat
cecbid,cefbid
bbiovid,biovid
clavwan,clavsan
adpaic,adapic
acref,acred
acecol,acecolix
cefogard,cefigard
omalizumqb,omalizumab
cardiclih,cardiclin
bcid,bcid
aculat,acupat
aetic,axetic
clmac,clomac
azidone,azidone
colnab,clonab
amoqiin,amoquin
antuma,antima
batsef,bactsef
coloirne,colorine
ambrooof,ambrokof
cardilan,cardiplan
antiprss,antipres
cokitec,colitec
atorride,atoride
alimpenamm,alimpenam
carozen,carizen
cumi,cumide
filitab,cilitab
cefihilp,cefihill
aagextil,agextil
cptol,captol
bwzole,bezole
capxcell,capxcel
cilnilog,cilnilong
buxo,buxo
duoep,duopep
brunofloz,brunoflox
ceefdre,cefdre
bzclofen,baclofen
rbavo,bravo
aqtger,aqther
defubiz,cefubiz
aceclozid,acecloaid
lactodryl,calactodryl
caarved,carved
ceenir,cednir
algazio,albazio
alriaa,alriza
absocin,abdocin
defzit,cefzit
allirte,allrite
chronium,chromium
averol,avertol
afoderm,avoderm
ccitico,citico
acitroz,acitros
cefzdiime,cefzidime
azenaet,azenate
bbromeph,bromeph
dispsrzyme,disperzyme
acrrotac,acrotac
crlnta,cronta
fritipreg,critipreg
oczac,cozac
avute,acute
bemisl,bemisol
ciflop,citlop
aceeclonec,aceclonec
abddal,abedal
aazipoint,azipoint
csaf,csafe
bestoinm,bestonim
acat,acag
adzodrc,adzodec
fefamex,cefamex
cefeeeal,cefedeal
akalee,alkalee
adzytus,adzutus
cefvistaa,cefvista
achenfolam,achenoflam
bloxam,blozam
bbrachy,brachy
alcohix,alconix
anviimox,anvimox
boonzon,boonxon
cefwxe,cefaxe
auslo,auslog
cefnex,cefmex
benjl,benil
venz,benz
eblrid,belrid
bsetitra,bestitra
crampcue,crampcure
akscab,alscab
amet,amcet
anzak,anzal
cognokin,cognolin
aclomi,aclomit
cenoza,cenoza
claricep,claricep
cefgoud,cefogud
btadilex,bradilex
alspaz,alspas
cdtrivac,cetrivac
xongerd,congerd
acudof,acidof
corabt,corant
bowstef,bowster
atdic,atric
citam,citpam
csndihit,candihit
bonom,bronom
ocriem,coriem
bkown,blown
acinknyx,acinonyx
arjoint,atjoint
sapicet,aspicet
azitrpy,azitroy
amvibat,amvibast
avidop,avidol
cefrex,ceforex
zaomycin,azomycin
baydos,bayros
aximic,azimic
comedoltic,comedolytic
ambfet,ambcet
ralocifene,raloxifene
mrox,amrox
centagesic,centagesic
dskast,deskast
aldoeec,aldodec
cinpind,cinpine
amkovest,amlovest
avumsf,avumef
cervok,cefvok
colcosude,colcoside
acryb,acrub
augzen,augzen
ariper,araiper
amibophylin,aminophylin
alangdl,alangel
aceffex,acefex
ambact,amibact
edom,acedom
csoa,cosa
cortace,cortace
cefvoiz,cefivoiz
doxinate,doxinate
cobifaet,cobifast
bhdirik,budirik
awprito,asprito
aleddime,aledime
ceftdilive,ceftrilive
cerfa,ceraf
zsthagrip,asthagrip
cypsoon,cypson
cclospas,cyclospas
acirsb,acirab
abzocid,abzocid
clavogrd,clavogard
enrofloxacib,enrofloxacin
piperacllin,piperacillin
bluspss,bluspas
crigipime,critipime
clovranil,clofranil
citimiine,citimine
claviafst,clavifast
clomiprzmine,clomipramine
chdec,cudec
cesoxx,cesox
silymairn,silymarin
dolotuss,dolotuss
bebwin,benwin
clopifos,clopifod
arlx,arlex
italka,citalka
bitmool,bitmol
axiom,aziom
cardiotobe,cardiotone
zrflox,arflox
adpime,adpime
cgdoole,cgdole
haxofin,baxofin
zopicoone,zopiclone
bcifer,bacifer
alvedt,alvert
albickav,albiclav
bormycodex,bromycodex
cefpogro,cefpogro
arofxi,arofix
cloberid,cloberid
ambimet,ambimet
biocarr,biocart
ckdo,codo
amvi,amvik
clojopam,clonopam
beclosoone,beclosone
fardipill,cardipill
baflocon,baflocin
cuxroq,cudroq
clavoxus,clavodus
almovril,almogril
atteq,arteq
ccevulson,cevulson
chimovlav,chimoclav
jopromide,iopromide
adgrma,adgram
atorvatun,atorvatin
cetnarr,cetnar
qzilak,azilak
acnewzr,acnewar
acnova,acnovate
csrveday,carveday
cefsottrum,cefsotrum
solosaid,dolosaid
alcyta,alcysta
atchliv,catchliv
ccorlon,corlon
alboaz,alobaz
cprmox,cormox
amimmed,amimed
biouxi,bioixi
burnoseptt,burnosept
alnawe,alnase
clotas,clotas
chlofx,chlorx
acpjy,acphy
bilaned,bilanec
allexime,alexime
dyslons,dyslone
cmary,camry
fredcef,credcef
aculu,aculum
oxetacaaine,oxetacaine
alozia,alosia
duopuules,duopules
icarb,bicarb
bdnim,benim
auxtipod,austipod
bioneft,bionect
vepo,cepo
amnurinf,amnuring
breepodd,breepod
afigatran,afogatran
akbrocia,ambrocia
axaltate,axalfate
betavliff,betacliff
asldvo,aslevo
zmty,amty
canxyzole,candyzole
citarx,citrax
dexani,dexanil
axibig,azibig
carhicle,carnicle
ceforab,cefotab
bacgivac,bactivac
avdlo,avflo
cragrel,cargrel
ciprogolc,ciprogold
cigilite,citilite
aactlin,actlin
comram,conram
cirocort,curocort
fuace,cefuace
avlotaz,aclotaz
acdtaminophen,acetaminophen
buopzen,bupozen
codti,corti
ambiv,ambivox
amijzck,amijack
amufem,amifem
clrax,clirax
calminr,calmnir
brsit,brosit
azjthroj,azithroj
cerclva,cerclav
avre,aver
blaiss,blaise
cefufex,cefurex
croggest,crogest
craemal,caremal
bieotril,bisotril
vaprazan,revaprazan
aacitidine,azacitidine
codvus,corvus
caefex,acefex
azihawk,azihawk
citfi,citri
clavgrn,clavgen
didik,cidik
anta,antac
tedin,artedin
azoafla,azoalfa
qfither,afither
alloxjm,alloxim
cyprad,cyprax
vancomydin,vancomycin
broncuure,broncure
aezlxo,aezlox
cefuroviil,cefurovil
addoxi,adoxi
dznazol,danazol
cedoder,cefoder
bbigtaz,bigtaz
cidlsst,cidlast
brim,albrim
chitase,chirase
ampimett,ampimet
arazold,arazole
fulob,culob
bentlril,bentoril
daavaindia,davaindia
biomez,biomez
codyz,codys
cegham,cetham
duoluron,duoluton
carmeol,caremol
animxo,animox
animax,amimax
acezkn,acezon
czpwm,czpam
acnelo,acnelot
cefjsuch,cefisuch
floxil,cloxil
cirpotox,ciprotox
bltab,bptab
autogoa,autogla
colics,colica
closstar,clostar
adilz,adliz
anxcot,anscot
corgil,cortil
cefonex,cefinex
ssth,asth
bariga,barriga
aplktel,aplotel
asloor,asolor
aaipac,azipac
cilki,cilli
asccon,asvcon
azcelean,azeclean
capiflox,capiflox
fotra,dotra
anatpb,anatob
qltole,altole
lonorest,clonorest
aequimoc,aequimox
amonomeg,aminomeg
capzoe,capzole
cfebyte,cefbyte
aalbenya,albenya
alddofos,aldrofos
bitirlx,bitirox
altuse,altuss
amoidaquine,amodiaquine
cofex,cifex
cipsole,cipzole
avpos,avpod
acetynte,acetynet
cegjoin,cefjoin
qrlevo,arlevo
pormethazine,promethazine
amjvor,amivor
alerfl,alerflo
bifl,biflu
chemziip,chemzip
azugla,azigla
careail,caresil
vareniclone,varenicline
ciipzen,cipzen
ajgclav,augclav
artiser,artiset
axyytum,axytum
azudoft,azusoft
cglir,cglit
clindeex,clindex
cefublls,cefbulls
carolms,carolme
dispaar,dispar
arorvik,atorvik
dhemobine,chemobine
asitxime,astixime
biosaluc,biosalic
azetor,azetro
ceftastat,ceftastar
arthraspaa,arthraspaz
alpoxkme,alpoxime
prulifloxacin,prulifloxacin
asppd,aspod
amigqur,amigaur
xoxime,doxime
clovas,clovas
domettic,dometic
bronkeee,bronkese
clonak,clonam
llenza,allenza
cfmam,cefmam
boxiin,boxin
ceoharil,cepharil
anafin,anacin
alhts,aluts
ammbros,ambros
cytotct,cytotect
abne,aben
atorec,atorec
critizyem,critizyme
cypoveer,cypoever
atakra,atamra
bontoiode,bonotiode
bacctorus,bactorus
box,bmox
axozdc,axozec
clspy,clapy
ampizlo,ampizol
clarktee,claritee
brifrel,brigrel
alfaget,alfabet
mbither,combither
aficlin,aviclin
cefapos,cefapod
argeola,argella
volcoff,colcoff
cerizime,cefizime
cezonum,cezonum
cefmig,cefimig
ceftat,ceftact
abigest,avigest
wthpan,athpan
bertycan,berrycan
defadin,cefadin
amrodiva,ambrodiva
chsmogest,chemogest
minoxjdil,minoxidil
cizpam,cizipam
lrmborexant,lemborexant
antu,anth
calxigo,calcigo
cjvee,cmvee
vapget,capget
airnicox,aitnicox
xhymoking,chymoking
dpirobay,diprobay
amlprite,amlorite
donteez,conteez
cefconw,cefcone
bupidhral,bupidural
cefpbactam,cefobactam
artrmotial,artemotial
aericef,aedicef
cefgiht,cefight
ageleas,ageless
amllkas,amlokas
amnromix,ambromix
avenckav,avenclav
amtimal,antimal
ampjp,ampip
ccladrim,cladrim
beeral,beneral
ceenam,cenam
donamwm,donamem
afelast,acelast
amiwau,amiway
cefbact,cefbactum
axkdrol,axidrol
alsulids,alsulide
aconred,aconred
celpzrin,celparin
dextrropropoxyphene,dextropropoxyphene
chllordyl,chlordyl
cospws,cospas
azvi,azvin
agziclav,agziclav
amcobsl,amcobal
aliamin,alkamin
cisadee,cisade
barsol,bardol
acrdipure,cardipure
clopido,clopido
cgymored,chymored
cepnbid,cephbid
wpregen,apregen
banfop,bantop
atrsz,atraz
ceftool,ceftol
cleedx,cledex
rdeam,dream
aziwhil,azishil
cohitel,conitel
qmgat,amgat
dipgold,cipgold
aletnex,alernex
ahadecon,anadecon
ycpdot,cypdot
axical,axival
astozjn,astozin
conazot,conazit
dexorren,dexoren
clovcer,clovcef
cefrong,cefrony
cetcytr,cetcyte
casipar,cadipar
beetazine,betazine
bifocan,bifocan
camex,canex
axoje,axone
cvbo,cvgo
anidox,ancidox
crsmogal,cremogal
axipate,axilate
adbile,adebile
dedopil,cedopil
blukaxt,blukast
amotaa,amotaz
cluse,clouse
coballab,cobalab
citonoot,citinoot
chlrox,chlorx
aoocaine,alocaine
balsacol,balsacol
anolide,anilide
amyczn,amycan
cytarasied,cytaraside
dolonxe,dolonex
azicls,azicos
wlrista,alrista
alphcath,alphacath
clafros,clavros
bacare,dubacare
scichil,acichil
caprunim,caprinim
csdros,cadros
clarihur,claribur
bcalonip,baclonip
bezafibrat,bezafibrate
clogate,clobate
adedus,acedus
cognjfast,cognifast
cobqcta,cobacta
amihsit,amihist
bronolwx,bronolax
cclindiros,clindiros
ampicwd,ampicad
coxifn,coxifen
azupark,azipark
cefgr,cefgrey
diazeam,diazepam
cnythogest,cynthogest
artihova,artinova
cetforen,cefforen
activif,activid
cnlopro,chlopro
bldomycin,bleomycin
cerotax,cefotax
dutin,cutin
cefuzoe,cefuzor
codilag,codilab
cclavday,clavday
arhdol,arudol
aclad,aclar
strdptokinase,streptokinase
bronli,bronki
bepofree,bepofree
curofflam,curoflam
bezrao,bezral
ajloscan,amloscan
corfex,cortex
afvinus,affinus
asthak,astham
ativan,ativan
benfomev,benfomec
abzzom,abzom
ilzo,cilzo
cjmbak,cumbak
amlipen,ampipen
fugreen,cefugreen
comfor,comfortz
aeincef,aeoncef
darolac,darolac
apppin,appin
atparct,atpartc
ortest,atortest
asteclavv,asteclav
cetraket,cetralet
bacozjd,bacozid
azapurs,azapure
crniopod,crinopod
xetoz,cetoz
albacttam,albactam
atortext,atortest
lirablutide,liraglutide
cigihist,cifihist
apiksd,apiked
cifpmed,cifomed
cfedtree,credtree
rorikem,dorikem
belzix,belzid
ciphohn,cipjohn
stecort,astecort
scenol,acenol
clinrii,clinrik
aziohx,azihox
line,amline
csrdifill,cardifill
cildy,cilday
cafdipod,cardipod
clavyfasf,clavyfast
anitrust,amitrust
acdc,acdac
btcoom,btcom
cdfpime,cefpime
asilid,adilid
clisesp,cliseep
cefiimak,cefimak
dynuroo,dynuro
cryptocan,cryptocan
andeci,andeck
alerllite,alerlite
apftesh,apfresh
awnatest,awnagest
baclodim,baclodin
crfout,cefout
aveiell,avriell
dcort,cadcort
dili,dilo
atorcufe,atorcure
actiirax,actirax
bdstcort,bestcort
brtwsten,brtasten
arixpne,arixone
nizatidime,nizatidine
cibrofekt,cibrofelt
cutjvate,cutivate
bbrofentol,brofentol
cklaza,cilaza
coftaris,cortaris
aazqure,azqure
cllafel,clafel
cytlmid,cytomid
fuphaston,duphaston
qscoja,ascoja
cortaaone,cortazone
addbacta,addbactam
cobaro,cobaross
apgesjc,apgesic
bropxin,bropsin
astovass,astovas
giolof,biolof
cgtoglim,cytoglim
amstar,amstat
brpkinz,brokinz
cetlevvo,cetlevo
ceftdiobiotic,ceftriobiotic
arnem,aronem
amgrex,amtrex
qvicet,avicet
betiin,betin
claddin,cladin
rifamoicin,rifampicin
checomx,checmox
cetree,ceftree
adov,adcov
covanec,covance
relix,carelix
camyoofin,camylofin
arpbic,arobic
ceflaan,ceflan
cefocdf,cefocef
fhoriotec,choriotec
biiryl,bioryl
cojbifen,combifen
cirab,acirab
bikscab,bioscab
brefer,breter
cytrxo,cytrox
atofrn,atofen
beecf,beecef
agtel,agitel
azidkq,azidoq
eflock,deflock
additer,aediter
afenger,avenger
claspdo,claspod
lincomyc,lincomycin
bzyurab,bayurab
cetiforce,ceftiforce
amilax,ambilax
cefextive,cefective
aomix,aomiz
azdrem,azderm
activis,actovis
xefoprox,cefoprox
aaritaz,aritaz
naamid,anamid
cidmuw,cidmus
doligetz,coligetz
ahtaz,achtaz
broxovif,broxovic
abalo,abamlo
allrbbe,allrabbe
cipovox,cipofox
cojbutamide,combutamide
vericiguqt,vericiguat
clammova,clamova
asapan,asrapan
fociapan,cociapan
cantottel,cantotel
ceditaz,cefitaz
spidonolactone,spironolactone
xardistat,cardistat
amnil,amonil
arortaj,atortaj
boldcla,boldclav
clnisure,cilnisure
czpadex,capadex
xamley,camley
coldwx,coldex
boosim,boostim
amivpk,amivok
ciloas,cilovas
folncit,colncit
cholinsave,cholinesave
aptid,aptic
ceraffen,cerafen
dabigo,dabigo
axktan,axitan
covah,covan
altlcef,altocef
bfovert,brovert
zbipanta,abipanta
cixday,coxday
alvorex,alvofex
biosmi,biosim
laezol,alezol
amroocin,amrocin
amiyag,amitag
bricox,bridox
brimosofft,brimosoft
agropa,atropa
atoin,atolin
almd,almid
azinnax,azinax
cildawin,coldawin
amlkzaar,amlozaar
gentova,bentova
camlley,camley
coldctush,coldcrush
anxoxy,andoxy
caprinin,caprinim
axolyt,acolyt
apfiee,apfide
adpraxole,adprazole
cefrasen,cefrazen
abocid,abzocid
cozak,cozal
ovotas,drovotas
cirajoy,citajoy
artisoe,artisone
vlopitru,clopitru
zcolef,acolef
doli,dolide
clavofprd,clavoford
vatacof,catacof
axerox,axerox
qdmox,admox
alsatinnib,alsatinib
rocox,atrocox
ajgeocare,angeocare
aldiicam,aldicam
aeotone,arotone
brupoe,brupod
fpodox,cefpodox
anurwb,anurab
artgrin,arthrin
amitl,amitel
atrscef,atracef
bilimetno,bilimento
betaypro,betacypro
auxgoo,auxgo
amicap,amicap
asflrmin,asformin
cefplmon,cefpomon
approxe,aproxe
blumeeta,blumeta
amfv,amcv
dexnail,dexanil
bactissn,bactisan
colddrush,coldcrush
brimrx,brimorx
clogteam,clobteam
altamknt,altamont
afljv,afliv
amphoxlav,amphoclav
govose,bovose
cariron,cardiron
anctroz,canctroz
clonid,clonic
antiworn,antiworm
aredronwt,aredronet
aetid,artid
auxerb,auxerg
xolatage,colatage
bhaarglob,bharglob
ascoxll,ascoxol
abivoori,abivori
budit,burit
caditdl,caditel
deflaen,deflagen
cdrifin,cerifin
cblorest,chlorest
clouet,clojet
brivaojy,brivajoy
chymodin,chymodin
amrsdox,amradox
captopril,captopril
asvassin,asvasin
cinsllv,cinsolv
cuprotos,ciprotos
algucid,albucid
azivvin,azivin
anziroor,anziroot
bisopil,bisopil
ccalport,calport
citinezr,citinerz
cione,cione
clinnee,clinee
cipttab,ciptab
cloddip,clodip
selegiline,selegiline
ayolis,atolis
asiso,aaiso
amlpdipine,amlodipine
cipeotox,ciprotox
cadabopic,cadabolic
cljnet,clinet
aaeka,aaeka
clavikn,clavkin
bbularid,bularid
aanvip,anvip
baciflod,baciflox
ctgon,ctgone
lazap,bilazap
farecold,carecold
anjpar,anupar
alerem,aldrem
noryl,cynoryl
cyclozobod,cyclozobid
cloobex,clobex
actiipraz,actipraz
carpune,carpine
avoopod,avopod
coxfrim,coxtrim
cefoheal,cefiheal
carennol,carenol
ethambutil,ethambutol
acan,acean
anzinox,anzimox
alfutroo,alfutrol
bnoodec,bonodec
gestoddene,gestodene
cefjsil,cefisil
nrolin,brolin
axkron,axiron
cceftidel,ceftidel
penta,alpenta
cepoceff,cepocef
aziyab,azitab
fpcl,cpcl
barompx,baromox
asmiide,asmide
betpill,betapill
betahist,betahist
bacttiquin,bactiquin
apeborm,apenorm
cervarix,cervarix
cobin,coblin
alex,ales
arino,arinox
citivzs,citivas
azafecg,azafect
sntimox,antimox
cient,ckent
aacnton,acnton
carvodex,carvidex
clivall,clival
cirnux,crinux
sotaol,sotalol
cefocue,cefocure
autclrt,autcort
agelivv,ageliv
coofun,clofun
aztreosppey,aztreospey
copqr,copar
alllerskin,allerskin
ciprocik,ciprocil
avuflwm,avuflam
blixec,blidec
sppella,appella
clvodex,clavodex
ewzopiclone,eszopiclone
athocpav,athoclav
cetaemff,cetameff
bulllmox,bullmox
cinflsx,cinflex
clotjgem,clotigem
aquaforve,aquaforce
chemvort,chemcort
cariform,cartiform
ihalo,abihalo
atakarre,atakare
cafpar,cadpar
alkqdrix,alkadrix
conzok,conzol
defobac,cefobac
ainate,axinate
acetpl,acetol
aavustat,avustat
lcavoheal,clavoheal
biolev,biolev
rehorafenib,regorafenib
qzitough,azitough
aaifed,azifed
alergipar,alergipar
nnitroglycerin,nitroglycerin
arroccof,arrocof
adtidase,actidase
dolofen,dologen
cecih,cecin
dybatroy,dynatroy
greosulfan,treosulfan
xipgenta,dipgenta
tirasemide,torasemide
azzigold,azigold
alpatin,aplatin
appristar,apristar
bisonage,bisonate
bloommish,bloomish
yflam,chyflam
asltat,alstat
asodin,asocin
amlx,amox
arisgat,aristat
avuset,avuset
cecopride,cefopride
anxynil,anxynil
hydroxocoballamin,hydroxocobalamin
ditrypp,ditryp
dedlafine,deflafine
alciivo,alcivo
agrodet,agrocet
crlomide,celomide
cizdop,cixdop
cefolkd,cefolid
obalife,cobalife
atrvas,atevas
arnaceef,arnacef
cufeclox,cureclox
qzigli,azigli
ciljican,cilnican
acvene,advene
arotf,aroff
gillacare,billacare
afoclox,acoclox
cirotryy,cirotry
baoxime,baroxime
beeced,beecef
adrabb,adrab
citimoox,citimox
cadiraze,candiraze
bonebsy,bonebay
cedapt,cefapt
arxon,ardon
auttclav,autclav
azzilam,azilam
clozirix,clozorix
bradinitta,bradinita
hiovon,biovon
bryelt,brylet
amter,amterex
cknest,conest
doxina,doxiba
chclox,cyclox
cibkz,ciboz
acofair,acnofair
zafirlujast,zafirlukast
amlodioine,amlodipine
brafelle,bravelle
carwvon,carevon
aplervict,allervict
qzilamb,azilamb
nuvolumab,nivolumab
azihxa,azihexa
atunri,atubri
arteemao,arteemal
asfhim,asthim
trin,motrin
cinaf,cinad
phlo,bphlo
aeto,aceto
bisimer,bisomer
adebrox,acebrox
clini,celini
aeemol,ademol
bromocriptije,bromocriptine
depedal,dependal
ceoclap,cefoclap
cildout,coldout
cetofen,cetofeb
acept,axcept
cotaspirn,cotaspirin
antrez,antorez
cebwlol,cebalol
allifozith,allitozith
gecitabine,gemcitabine
caldip,caldip
abedip,abecip
aljdol,alidol
amillite,amilite
vlos,clos
caudfilox,caudiflox
bredium,bredium
carnitrat,carnitreat
csaro,cesaro
cinfllex,cinflex
anodip,anocip
aimnomeg,aminomeg
aldicfrn,aldicfen
cypbql,cypbal
aclop,aclopic
ecdea,cedea
cefitraxx,cefitrax
clincla,clinclav
cclinitis,clinitis
brdmec,bremec
dieenofem,dienofem
byfla,byflam
cpozob,clozob
axacfe,axacef
diclomax,diclomax
audefpox,audeflox
abapentin,gabapentin
carvsnol,carvenol
albwngel,albengel
cypitone,cypitone
amusczr,amuscar
cotnisun,cognisun
cdovax,crovax
clvas,clovas
agmaderm,agmaderm
hoyantin,boyantin
asrcof,aarcof
cangoflox,cantoflox
axopfed,axopred
bisomrr,bisomer
ceac,cenac
argellz,argella
cyclonim,cyclonim
augpkd,augpod
clobetq,clobeta
crtrimol,cetrimol
fytriliv,cytriliv
awracef,asracef
brustqn,brustan
cebovre,cebover
cilpkn,cilpin
amiezc,amizec
coxlina,coxlina
azozyme,asozyme
atikey,atiket
rispas,curispas
atheo,atheo
kazar,alkazar
aziivay,azivay
biodsse,biodase
zbend,azbend
avefa,avera
dailyy,daily
azi,azin
tolbjtamide,tolbutamide
duox,cuox
dpcl,cpcl
dytop,cytop
trabectdein,trabectedin
akkceft,akceft
colges,colgest
atcalip,atvalip
boudan,bludan
veflame,ceflame
cenorok,cenorol
axik,axim
cappiright,capiright
calnaasl,calnasal
dydroggesterone,dydrogesterone
clobiare,clobkare
ancofair,acnofair
batil,bstil
bronzafloc,bronzaflox
ciifrin,cifirin
clamixt,clamist
azifrran,azifran
lakoffin,alkoffin
adgifizz,argifizz
cocud,cocid
byootine,bylotine
cecorl,cecoril
amiatin,amigatin
azcen,azicen
cilopride,cilipride
alls,allset
cantrq,cantra
cardiichem,cardichem
aalkastar,alkastar
abbzocid,abzocid
byett,byetta
cefpkwyn,cefpowyn
veftree,ceftree
biograj,biogran
constikar,constikare
bonfart,boncart
benaomac,benzomac
cxiime,cxime
apihp,apiup
cedaden,cefaden
briorva,britorva
ariivo,arivo
itralis,citralis
capabin,capagin
balgyll,balgyl
colbbestin,colbestin
atomoz,atomox
wcicol,acicol
anenzer,abenzer
diaecrein,diacerein
aitnair,aitnaur
cbcip,cgcip
ambrt,ambrot
cywfe,cyafe
albwsun,albesun
closi,cloxi
acnival,acnoval
fegad,cegad
coeptab,copetab
didlovik,diclovik
coinoint,clinoint
atorias,atorkas
aldifu,aldifuhr
abbpent,abpent
aacodryl,ascodryl
cafbetol,carbetol
glucosamine,glucosamine
cufli,cuflift
arizine,arizine
cetdpm,cetdom
atorvqliz,atorvaliz
bimicipro,binicipro
cyclsx,cyclex
xefkab,cefkab
cllaventin,claventin
nrivazen,brivazen
affen,affen
qripamat,aripamat
amodih,amodin
azosuf,azosuf
ajbrocuff,ambrocuff
asprevs,aspreva
cliff,cliff
asefresh,adefresh
amiin,amkin
cefyrox,ceftrox
dapabife,dapabite
broozed,brozed
aarpred,aarpred
cefswn,cefsan
alcoxtar,alcostar
clemastine,clemastine
codifrezh,codifresh
clavuwave,clavusave
arbktel,arbitel
ifosfaimde,ifosfamide
cobamu,cobamust
galacyclovir,valacyclovir
sdneon,adneon
aquacon,aquacin
cdarol,cadrol
betnitke,betnitek
coolace,colace
flaziform,claziform
carsipod,cardipod
amicob,anicob
ibtpara,bitpara
canrythm,canrythm
toap,atoap
cabrium,carbium
cephsmax,cephamax
arkorda,arkorad
collif,colif
aatec,aztec
aerldil,aerodil
cacirate,cafirate
aacefinity,acefinity
atcod,atcor
ameonr,amenor
amzycec,amzycef
addtrx,addtrex
azefip,azefil
betawalic,betasalic
acree,acfree
cofoodd,cofodd
cadigy,cadigyl
cyclomjc,cyclomic
bospan,biospan
atenorpess,atenopress
caresul,caresil
albnio,albino
aery,alery
burnneal,burnheal
vlomaxin,clomaxin
cefuxa,cefusa
alipent,alupent
crush,crush
anaxime,anaxime
amfaet,amfast
clavipej,clavipen
calprt,calport
bonclavv,bonclav
cefurob,cefurib
candiwtat,candistat
amitwixx,amitwix
